SOC_2020_ext,SOC2020_ext_SUG_title,INDEXOCC_-_natural_word_order
8222/00,Fork-lift truck drivers,Stacker driver
8229/99,Mobile machine drivers and operatives n.e.c.,Steamroller driver
8112/00,Textile process operatives,Stenter driver
8234/99,Rail transport operatives n.e.c.,Surface driver
8229/99,Mobile machine drivers and operatives n.e.c.,Mechanical road sweeper driver
8229/99,Mobile machine drivers and operatives n.e.c.,Sweeper driver
8115/99,Metal making and treating process operatives n.e.c.,Table driver
8221/00,Crane drivers,Tandem driver
8211/00,Heavy and large goods vehicle drivers,Tanker driver
8213/00,Taxi and cab drivers and chauffeurs,Taxi driver
8213/00,Taxi and cab drivers and chauffeurs,Taxicab driver
8229/99,Mobile machine drivers and operatives n.e.c.,Telehandler driver
