SOC_2020_ext,SOC2020_ext_SUG_title,INDEXOCC_-_natural_word_order
5442/99,Furniture makers and other craft woodworkers n.e.c.,Embosser
5419/01,Embroiderers and sewers,Embroiderer
2113/99,Biochemists and biomedical scientists n.e.c.,Embryologist
4123/01,Bank and building society clerks,Bank employee
9139/00,Elementary process plant occupations n.e.c.,Biscuit emptier
5441/99,"Glass and ceramics makers, decorators and finishers n.e.c.",Electrical press emptier
5441/01,"Ceramic makers, decorators and finishers",Press emptier
9139/00,Elementary process plant occupations n.e.c.,Rubbish emptier
8132/01,Coal miners and quarry workers,Wagon emptier
9139/00,Elementary process plant occupations n.e.c.,Ware emptier
9139/00,Elementary process plant occupations n.e.c.,Wheel emptier
9139/00,Elementary process plant occupations n.e.c.,Emptier
8113/00,Chemical and related process operatives,Emptier
9131/00,Industrial cleaning process occupations,Emptier
6135/99,Care workers and home carers n.e.c.,Care enabler
3223/00,Housing officers,Rural housing enabler
3229/99,Welfare and housing associate professionals n.e.c.,Mission enabler
5441/01,"Ceramic makers, decorators and finishers",Enameller
8149/00,Assemblers and routine operatives n.e.c.,Enameller
9219/99,Elementary administration occupations n.e.c.,Encloser
8112/00,Textile process operatives,Ender
2113/99,Biochemists and biomedical scientists n.e.c.,Endocrinologist
2253/02,Endodontists,Endodontist
2129/01,Acoustic engineers ,Acoustic engineer
5319/99,Construction and building trades n.e.c.,Acoustic engineer
2129/01,Acoustic engineers ,Acoustics engineer
5319/99,Construction and building trades n.e.c.,Acoustics engineer
}}}}/}},}}}}/}},Administrative engineer
}}}}/}},}}}}/}},Advisory engineer
8139/01,Aerial installers,Aerial engineer
8141/00,Assemblers (electrical and electronic products),Aerial engineer
5234/00,Aircraft maintenance and related trades ,Aero engineer
2126/01,Aeronautical engineers (professional),Aeronautical engineer
5234/00,Aircraft maintenance and related trades ,Aeronautical engineer
2126/99,Aerospace engineers n.e.c.,Aerospace engineer
5234/00,Aircraft maintenance and related trades ,Aerospace engineer
2129/99,Engineering professionals n.e.c.,Agricultural engineer
5223/06,Heavy plant maintenance technicians,Agricultural engineer
3113/01,Aerospace technicians,Licenced aircraft engineer
3113/01,Aerospace technicians,Aircraft engineer
2126/02,Aircraft engineers (professional),Aircraft engineer
5234/00,Aircraft maintenance and related trades ,Aircraft engineer
5234/00,Aircraft maintenance and related trades ,Airline engineer
5245/00,Security system installers and repairers,Alarm engineer
5246/00,Electrical service and maintenance mechanics and repairers,Domestic appliance engineer
